"Pytanie","Odpowiedź","Tagi"
"Czym jest MikuMiku Fan Hub?","Aplikacją laboratoryjną Go/Gin/SQLite pokazującą podatności webowe w normalnych funkcjach portalu fanowskiego.","architektura"
"Co robi SECURITY_ENABLED?","Przełącza zachowanie aplikacji między podatnym i zabezpieczonym wariantem.","architektura"
"Jaki jest przepływ żądania?","Gin router -> handler -> service -> SQLite -> Templ albo JSON.","architektura"
"Gdzie występuje SQL Injection?","W wyszukiwarce Vocaloid library, parametr q.","sqli"
"Dlaczego SQLi działa w vulnerable?","Input jest doklejany do zapytania SQL jako tekst.","sqli"
"Jak naprawiono SQL Injection?","Zapytaniami parametryzowanymi z placeholderami ?.","sqli"
"Po co użyto ORDER BY 8 --?","Do rozpoznania liczby kolumn przez błąd SQL.","sqli"
"Co daje UNION SELECT FROM users?","Pozwala pokazać rekordy użytkowników jako wyniki wyszukiwarki.","sqli"
"Co potwierdził sqlmap?","Że parametr q w trybie vulnerable jest wykrywalnie podatny na SQL Injection.","narzedzia"
"Gdzie występuje Stored XSS?","W komentarzach pod fan postami.","xss"
"Dlaczego XSS jest stored?","Payload jest zapisany w bazie i wykonuje się przy późniejszym odczycie strony.","xss"
"Jak naprawiono Stored XSS?","Przez oczyszczenie treści i html.EscapeString.","xss"
"Gdzie występuje Broken Authentication?","W logowaniu /ui/login i /login.","auth"
"Jaki jest błąd logowania vulnerable?","Serwer sprawdza tylko istnienie użytkownika, ignorując hasło.","auth"
"Jak naprawiono logowanie?","Walidacją hasła względem bcrypt hash i rate limitem.","auth"
"Po co jest bcrypt?","Do przechowywania hasła jako wolnego, solonego hasha zamiast tekstu jawnego.","auth"
"Gdzie występuje IDOR?","W kolejce moderacyjnej i usuwaniu postów po ID.","idor"
"Jak naprawiono IDOR?","Sprawdzeniem, czy użytkownik jest autorem posta albo adminem.","idor"
"Dlaczego ukrycie przycisku nie naprawia IDOR?","Bo atakujący może wysłać żądanie HTTP ręcznie.","idor"
"Gdzie występuje CSRF?","W zmianie emaila profilu przez /ui/profile.","csrf"
"Dlaczego cookie sesyjne nie wystarcza przy CSRF?","Bo przeglądarka dołączy je także do żądania wysłanego przez obcą stronę.","csrf"
"Jak naprawiono CSRF?","Tokenem w formularzu i cookie, które muszą się zgadzać.","csrf"
"Gdzie pokazano Sensitive Data Exposure?","W Member directory i przy możliwym wycieku tabeli users.","sensitive"
"Co jest problemem w sensitive vulnerable?","Kolumna password_hash może zawierać hasła jawne.","sensitive"
"Co zmienia bcrypt w secure?","Wyciek bazy nie ujawnia bezpośrednio haseł.","sensitive"
"Gdzie występuje Path Traversal?","W Fanart vault, parametr name.","traversal"
"Dlaczego uploadsDir + name jest błędne?","Bo name może zawierać ../ i wyjść poza katalog uploadów.","traversal"
"Jak naprawiono Path Traversal?","Przez filepath.Clean i sprawdzenie, czy ścieżka zostaje w uploads.","traversal"
"Gdzie występuje Command Injection?","W Stream relay check, parametr host.","command"
"Dlaczego sh -c jest niebezpieczne?","Bo powłoka interpretuje metaznaki takie jak ;, &&, |.","command"
"Jak naprawiono Command Injection?","Walidacją hosta i exec.CommandContext bez shella.","command"
"Do czego użyto OWASP ZAP?","Do pasywnego skanu DAST lokalnej aplikacji.","narzedzia"
"Co sprawdzają testy integracyjne?","Zachowanie endpointów vulnerable/secure dla podatności i funkcji.","testy"
"Jaka komenda uruchamia testy integracyjne?","go test -tags=integration -count=1 -v .","testy"
"Jaki jest najważniejszy wniosek projektu?","Zabezpieczenie musi być po stronie serwera i dotyczyć interpretacji danych wejściowych.","wnioski"
"Jak jednym zdaniem opisać projekt?","Aplikacja Go/Gin pokazująca osiem podatności webowych w normalnych funkcjach strony i ich naprawy w trybie secure.","obrona"
